problem,method,seed,probe,policy,coords,loss,grad_norm,grad_norm_relative_coords,n_params,n_nonzero_blocks,n_zero_norm_blocks,iterations_start0,orthogonality_error_start0,seconds_start0,top1_ritz,top1_rel_resid,top1_converged,top1,top1_start1_ritz,top1_start1_converged,top1_start_rel_diff,top1_rq_f32,top1_rq_f64,top1_quad_r1_f64,top1_r_of_direction,top1_grad_dot_dir_r1,top1_Cfd_t1e-05,top1_Cfd_t3e-05,top1_Cfd_t0.0001,top1_Cfd_t0.0003,top1_Cfd_t0.001,top1_Cfd_t0.003,top1_Cfd_t0.01,top2_ritz,top2_rel_resid,top2_converged,top2,top2_start1_ritz,top2_start1_converged,top2_start_rel_diff,min_ritz,min_rel_resid,min_converged,min,min_start1_ritz,min_start1_converged,min_start_rel_diff,min_rq_f32,min_rq_f64,min_quad_r1_f64,min_r_of_direction,min_grad_dot_dir_r1,min_Cfd_t1e-05,min_Cfd_t3e-05,min_Cfd_t0.0001,min_Cfd_t0.0003,min_Cfd_t0.001,min_Cfd_t0.003,min_Cfd_t0.01,iterations_start1,min_negative_verified
combined_s0_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,ordinary,0.5280258059501648,3.6931394178125836,4.712512009445986,268336,698,0,50,1.2212453270876722e-15,59.45415902137756,1315.2820907412558,4.3972764044651294e-07,True,1315.2820907412558,1315.2820646418115,True,1.9843229445717556e-08,1315.282063668949,1315.2934735437677,1462632.9554381454,0.02998773437549532,75.13111354359518,1366162.0015881225,1408532.5344242388,1423031.691480725,1456552.6560774308,1545011.5353333503,1181113.7453525777,493723.7253582291,1043.7842067727806,4.6677574863282444e-07,True,1043.7842067727806,1043.7842130809272,True,6.043535173217443e-09,-5.013121163070165,0.0007071610584142144,True,-5.013121163070165,-5.013143667793863,True,4.489164128666541e-06,-5.013122141124493,-5.013624804775963,-5560.642164565846,0.03002710349977879,3.0913540204066328,-1969.6965547488785,-5911.09362494772,-5908.898043305299,-5227.939474101225,-4445.527191381693,516.2928043988114,67757.02209890878,60,True
combined_s0_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,0,test_probe,centre_frozen,relative,0.5280258059501648,3.6931394178125836,4.712512009445986,268336,698,0,60,1.1102230246251565e-15,68.79906058311462,2114.1234673230347,4.2630226452883274e-07,True,2114.1234673230347,2114.1235493292843,True,3.878971634377889e-08,2114.1235317237233,2114.144657848607,1475672.9711783268,0.03785055820522324,79.67207130641728,1370822.0808572588,1419574.1240167574,1434301.4354801564,1470636.1669863872,1566271.947439006,1203978.2597530368,506351.9509851196,1687.074256006795,4.5298295346770204e-07,True,1687.074256006795,1687.0742615770143,True,3.3017037516661633e-09,-8.018412061985035,0.0008144215461857123,True,-8.018412061985035,-8.018433489396804,True,2.672276206664091e-06,-8.018410099640732,-8.019218314461519,-5597.414383494139,0.037850558205223234,2.9981401582050826,-2378.9173919652735,-6344.36186055767,-6105.651587651195,-5336.951234418624,-4467.004226781591,625.2676748398479,69327.12442473815,60,True
combined_s0_test_saved_ord,resolution_max_b1_gaussian_conv,0,test_probe,saved,ordinary,0.5324288457632065,4.4765630750116,5.703059796161695,268336,698,0,70,2.4424906541753444e-15,81.43670463562012,1282.4118996984985,4.363686925271377e-07,True,1282.4118996984985,1282.411889618443,True,7.860232363534489e-09,1282.4119215219641,1282.4086376527678,1424440.5195155893,0.03000482220866817,-92.714512872823,1373692.5840301947,1387985.4808982215,1393409.6972243902,1415846.9149688622,1498752.4842208899,1148578.3861206318,494332.27392406337,1021.980078636639,4.719619877366834e-07,True,1021.980078636639,1021.9800454458082,True,3.2476984112457343e-08,-6.028920376420922,0.0001466670949444061,True,-6.028920376420922,-6.028900373586946,True,3.3178135929747507e-06,-6.028920822964957,-6.0290255466492395,-6676.572255698891,0.030050159766320427,2.475519129932279,-11919.013336303406,-12482.879504381748,-8961.645440486165,-6507.364694960692,-5607.477975188458,137.07763145763707,80314.82366413946,50,True
combined_s0_test_saved_rel,resolution_max_b1_gaussian_conv,0,test_probe,saved,relative,0.5324288457632065,4.4765630750116,5.703059796161695,268336,698,0,80,2.6645352591003757e-15,84.22394514083862,2058.57312567461,4.339916364849458e-07,True,2058.57312567461,2058.5731458178557,True,9.785052359109345e-09,2058.573076962785,2058.569867848039,1436881.76775793,0.03785055820522324,-97.21191151647011,1389875.5476038358,1401771.8466075025,1405786.9050730253,1429792.6516496716,1517434.2648088476,1163793.3144130327,502034.7088761241,1654.8060536000578,4.836656639009314e-07,True,1654.8060536000578,1654.8059299908002,True,7.469712677326722e-08,-9.628799917554527,0.00011769019583075407,True,-9.628799917554527,-9.628785658409312,True,1.4808849843990462e-06,-9.62880094963904,-9.628912083916557,-6720.9806345737525,0.03785055820522324,2.390370494057806,-11494.379719145796,-12001.054715179056,-8992.956972497801,-6551.144848939336,-5649.354463436396,189.36951543693482,83031.68299720559,70,True
combined_s0_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,0,train_probe,centre_frozen,ordinary,0.3066259175539017,2.1933466029467374,2.800285561976505,268336,698,0,70,1.9984014443252818e-15,73.96668910980225,1219.0239036425764,4.256871424780711e-07,True,1219.0239036425764,1219.0239243286526,True,1.6969376957339913e-08,1219.0238827791661,1219.0072017457971,1356248.820685295,0.02998012566536578,15.203602979947197,1370624.7867895092,1370553.863482529,1383434.1173715624,1398200.2804228123,1481814.4910017261,1171778.2715472856,516640.2788781105,922.6323459595831,4.2954331145183343e-07,True,922.6323459595831,922.6323335394172,True,1.3461663126496997e-08,-2.9483404174699115,0.0001895573785135559,True,-2.9483404174699115,-2.948342447040956,True,6.883774453362244e-07,-2.9483406596072235,-2.948476690449422,-3269.1662882743312,0.03003172949505095,-0.34924630133825385,-473.79769663180576,-2271.601845145928,-961.1847738622004,-369.77915408205797,-165.1976442433867,1605.7161008815724,42439.76702783508,60,True
combined_s0_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,0,train_probe,centre_frozen,relative,0.3066259175539017,2.1933466029467374,2.800285561976505,268336,698,0,60,1.1102230246251565e-15,63.73585343360901,1959.8753284798336,3.9101937666056137e-07,True,1959.8753284798336,1959.875313288943,True,7.750947362528512e-09,1959.8753623405116,1959.8465503079194,1367972.8921149268,0.03785055820522324,14.395296223483193,1382322.3731956878,1382084.3834369236,1396188.5784326778,1409882.8668254332,1495037.2843834446,1190869.6430934092,528130.9327125408,1489.049724023224,4.1298453801433845e-07,True,1489.049724023224,1489.0498093777844,True,5.732149781152765e-08,-4.720962740032198,0.00032624877969113534,True,-4.720962740032198,-4.720971170835716,True,1.7858229309974392e-06,-4.720963592010064,-4.721182962318665,-3295.385707698425,0.03785055820522325,0.2926603660757661,-70.91067955045104,-2368.209633334888,-960.123827309367,-330.75527856091867,-185.88347063008825,1642.9022358825189,42829.76047687232,60,True
combined_s0_train_saved_ord,resolution_max_b1_gaussian_conv,0,train_probe,saved,ordinary,0.30663037300109863,1.9479538769131557,2.5071393500660677,268336,698,0,80,2.3314683517128287e-15,84.11000919342041,1217.483530414775,3.9264472030233695e-07,True,1217.483530414775,1217.4835280162406,True,1.970075466533011e-09,1217.4835242612533,1217.4845601191785,1354087.5479639587,0.02998529728545451,13.324469913559064,1354953.455917629,1361929.86580852,1378539.821825564,1388067.7538627295,1452190.7982498002,1137108.1192180172,504909.6279041467,913.7452255017784,4.569325919440356e-07,True,913.7452255017784,913.7452024122284,True,2.5269133323740233e-08,-2.2841058990864336,0.0006442539798412347,True,-2.2841058990864336,-2.2841301333336217,True,1.06099490386186e-05,-2.2841059798822716,-2.2840652221878237,-2551.732325622871,0.029918284860885803,-0.475751847772424,-7363.442716679102,-4766.344667469132,-1256.0638766423438,-934.0906615874625,-454.38074040871084,540.9296249300322,19551.385791189477,70,True
combined_s0_train_saved_rel,resolution_max_b1_gaussian_conv,0,train_probe,saved,relative,0.30663037300109863,1.9479538769131557,2.5071393500660677,268336,698,0,90,2.4424906541753444e-15,103.0446720123291,1956.4135106598753,4.372655532740901e-07,True,1956.4135106598753,1956.4134914262002,True,9.831088913669187e-09,1956.4134972871163,1956.4128077527475,1365576.1398114169,0.03785055820522324,-14.490584357436008,1366498.6611183758,1372504.1108389767,1389785.292279222,1399010.1892937098,1464620.7162105793,1155607.3047355157,516465.29446767876,1474.894074527733,4.2387317571803097e-07,True,1474.894074527733,1474.8940723956994,True,1.4455503289117908e-09,-3.6951679619433673,0.0002516581741205107,True,-3.6951679619433673,-3.6950412170262767,True,3.430017752802467e-05,-3.6951689399159537,-3.695101887819254,-2579.181117697837,0.03785055820522324,-0.05929341069963323,-8623.571062793544,-5737.4001789018475,-1514.3838151709942,-1028.1422280766785,-521.9140126442312,536.3218883216447,14940.86594341344,80,True
combined_s1_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,ordinary,0.5520675480365753,2.6280734830611117,3.3519213090738447,268336,698,0,70,1.7763568394002505e-15,79.6664412021637,1270.1529473483508,4.6194663418747046e-07,True,1270.1529473483508,1270.1529346171787,True,1.0023337833637025e-08,1270.1529378745333,1270.156997279423,1406878.1900643366,0.030046954130058673,-2.440822216723263,1415394.9795248087,1427615.378024358,1405564.713933649,1414674.934247737,1559248.906344334,1457278.1321556235,765633.8815498609,1023.0535714488454,4.5918903156078325e-07,True,1023.0535714488454,1023.0536037308459,True,3.1554555266855746e-08,-3.2328466603834314,0.0008069481714561118,True,-3.2328466603834314,-3.232894801620771,True,1.4891283873618582e-05,-3.232846129332489,-3.2328143360388424,-3560.12852718322,0.03013405267729999,-0.26588662852917044,-1320.80841153126,-1914.0049414525765,-3807.674690659013,-3926.5167910788423,-3589.9693581458173,-1194.2376069498846,26962.134504431753,70,True
combined_s1_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,relative,0.5520675480365753,2.6280734830611117,3.3519213090738447,268336,698,0,90,2.3314683517128287e-15,95.56932950019836,2033.2295051175663,4.492867034181932e-07,True,2033.2295051175663,2033.2295519757397,True,2.3046180115569057e-08,2033.2294846192194,2033.236054194861,1419198.765828012,0.03785055820522324,-2.021106077329369,1431392.3936715154,1439731.8425123866,1417125.9614770727,1427345.410573137,1582706.886416039,1491057.272905952,778652.0916092272,1648.4580338300514,4.5676297213064006e-07,True,1648.4580338300514,1648.45804279635,True,5.439203396997449e-09,-5.145782739562694,0.00015902456911267548,True,-5.145782739562694,-5.145663745857824,True,2.3124510087676156e-05,-5.14578332952669,-5.145727217027738,-3591.71759748536,0.037850558205223234,-0.15623271312926545,-2165.509405127608,-2888.310876149171,-4277.24557239273,-4153.824735089432,-3719.4934272071214,-1233.5128217097047,26740.036517635326,70,True
