method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
plain,0,train_probe,saved,0.005,96.4104441502113,114.35437011718727,1.1861201462677489
plain,0,train_probe,saved,0.01,96.4104441502113,115.66040420532222,1.1996667500578952
plain,0,train_probe,saved,0.02,96.4104441502113,116.6253910064697,1.2096759021746928
plain,0,train_probe,saved,0.025,96.4104441502113,117.09854309082027,1.2145835871098787
plain,0,train_probe,saved,0.05,96.4104441502113,121.24105621337887,1.2575510597636133
plain,0,train_probe,saved,0.1,96.4104441502113,135.63382003784176,1.4068374151094967
plain,0,train_probe,saved,0.2,96.4104441502113,164.61174156188963,1.7074056966838365
plain,0,train_probe,saved,0.25,96.4104441502113,169.51740830078126,1.7582888430289398
plain,0,train_probe,saved,0.35,96.4104441502113,169.33239432198664,1.756369818794321
plain,0,train_probe,saved,0.5,96.4104441502113,177.03253693847657,1.8362381638098548
plain,0,train_probe,centre_frozen,0.005,97.23902284976374,124.67080688476638,1.282106743065336
plain,0,train_probe,centre_frozen,0.01,97.23902284976374,122.1942520141603,1.2566380084151287
plain,0,train_probe,centre_frozen,0.02,97.23902284976374,120.52229595184329,1.2394437173443493
plain,0,train_probe,centre_frozen,0.025,97.23902284976374,120.50116638183594,1.2392264221742817
plain,0,train_probe,centre_frozen,0.05,97.23902284976374,123.95842346191402,1.2747806367144627
plain,0,train_probe,centre_frozen,0.1,97.23902284976374,138.5325032043457,1.4246595568775018
plain,0,train_probe,centre_frozen,0.2,97.23902284976374,167.78610649108884,1.7255017746354957
plain,0,train_probe,centre_frozen,0.25,97.23902284976374,172.56868232421874,1.7746854839423967
plain,0,train_probe,centre_frozen,0.35,97.23902284976374,171.80010806959507,1.7667815146089005
plain,0,train_probe,centre_frozen,0.5,97.23902284976374,179.24912868652348,1.8433867744996473
plain,0,test_probe,saved,0.005,130.35907851136167,82.25445556640264,0.6309837144118322
plain,0,test_probe,saved,0.01,130.35907851136167,86.04861450195234,0.6600891589951875
plain,0,test_probe,saved,0.02,130.35907851136167,90.60963058471651,0.6950772559873478
plain,0,test_probe,saved,0.025,130.35907851136167,92.67554687499984,0.7109251456309009
plain,0,test_probe,saved,0.05,130.35907851136167,99.1798541259765,0.7608204603665736
plain,0,test_probe,saved,0.1,130.35907851136167,114.69507064819331,0.8798395321442599
plain,0,test_probe,saved,0.2,130.35907851136167,146.94695075988767,1.1272475414673957
plain,0,test_probe,saved,0.25,130.35907851136167,155.06970576171875,1.1895581614456057
plain,0,test_probe,saved,0.35,130.35907851136167,160.48481221101727,1.2310980872500563
plain,0,test_probe,saved,0.5,130.35907851136167,172.56370878906253,1.3237567399191337
plain,0,test_probe,centre_frozen,0.005,131.23057377542352,82.8720703125021,0.6314997178502175
plain,0,test_probe,centre_frozen,0.01,131.23057377542352,87.2857971191412,0.6651330906204407
plain,0,test_probe,centre_frozen,0.02,131.23057377542352,93.91832733154305,0.715674134689578
plain,0,test_probe,centre_frozen,0.025,131.23057377542352,95.81140136718753,0.7300996910304663
plain,0,test_probe,centre_frozen,0.05,131.23057377542352,102.32102050781249,0.7797041311647063
plain,0,test_probe,centre_frozen,0.1,131.23057377542352,117.87583587646483,0.8982345537724097
plain,0,test_probe,centre_frozen,0.2,131.23057377542352,150.3417189788818,1.145630279999868
plain,0,test_probe,centre_frozen,0.25,131.23057377542352,158.26227871093752,1.2059863350271842
plain,0,test_probe,centre_frozen,0.35,131.23057377542352,163.04542719626915,1.2424347658137254
plain,0,test_probe,centre_frozen,0.5,131.23057377542352,174.8103563964844,1.3320855907834366
plain,1,train_probe,saved,0.005,121.7691225210252,151.99005126953168,1.2481822002395426
plain,1,train_probe,saved,0.01,121.7691225210252,147.94867706298837,1.2149933743461352
plain,1,train_probe,saved,0.02,121.7691225210252,145.3541717529297,1.1936866156511245
plain,1,train_probe,saved,0.025,121.7691225210252,144.96929077148437,1.1905258719956147
plain,1,train_probe,saved,0.05,121.7691225210252,148.0402877807617,1.2157457056094036
plain,1,train_probe,saved,0.1,121.7691225210252,163.90714736938475,1.3460485217924094
plain,1,train_probe,saved,0.2,121.7691225210252,188.2288143157959,1.5457844354860606
plain,1,train_probe,saved,0.25,121.7691225210252,187.5639447265625,1.5403243518830227
plain,1,train_probe,saved,0.35,121.7691225210252,176.21141123246178,1.4470943666530598
plain,1,train_probe,saved,0.5,121.7691225210252,176.02243935546875,1.4455424799918053
plain,1,train_probe,centre_frozen,0.005,119.68957128521131,150.86503601074162,1.260469349090085
plain,1,train_probe,centre_frozen,0.01,119.68957128521131,147.20023727416978,1.2298501506317756
plain,1,train_probe,centre_frozen,0.02,119.68957128521131,145.19775867462155,1.213119548474496
plain,1,train_probe,centre_frozen,0.025,119.68957128521131,144.89518005371085,1.2105915201954935
plain,1,train_probe,centre_frozen,0.05,119.68957128521131,148.05233093261717,1.2369693478124297
plain,1,train_probe,centre_frozen,0.1,119.68957128521131,163.8329893493652,1.3688159092738614
plain,1,train_probe,centre_frozen,0.2,119.68957128521131,187.7545836639404,1.5686795570228524
plain,1,train_probe,centre_frozen,0.25,119.68957128521131,187.0314274902344,1.5626376256670889
plain,1,train_probe,centre_frozen,0.35,119.68957128521131,175.5569300312899,1.4667688098986573
plain,1,train_probe,centre_frozen,0.5,119.68957128521131,174.84675938720704,1.4608353719519995
plain,1,test_probe,saved,0.005,162.52966049924618,99.9147949218746,0.6147480688445665
plain,1,test_probe,saved,0.01,162.52966049924618,110.58454895019554,0.6803961111498688
plain,1,test_probe,saved,0.02,162.52966049924618,118.14484405517578,0.7269125136437712
plain,1,test_probe,saved,0.025,162.52966049924618,118.95478271484376,0.7318958419616921
plain,1,test_probe,saved,0.05,162.52966049924618,123.68791198730472,0.7610174758709866
plain,1,test_probe,saved,0.1,162.52966049924618,142.40751342773433,0.8761940004691933
plain,1,test_probe,saved,0.2,162.52966049924618,171.63636093139644,1.0560310063048
plain,1,test_probe,saved,0.25,162.52966049924618,173.84593847656248,1.0696259251545583
plain,1,test_probe,saved,0.35,162.52966049924618,167.63374581473218,1.0314040237320847
plain,1,test_probe,saved,0.5,162.52966049924618,170.91030249023436,1.0515637697466738
plain,1,test_probe,centre_frozen,0.005,159.112799651467,110.01336669922246,0.6914174531540157
plain,1,test_probe,centre_frozen,0.01,159.112799651467,111.29136657714932,0.6994494900531608
plain,1,test_probe,centre_frozen,0.02,159.112799651467,116.73873901367206,0.7336854060099857
plain,1,test_probe,centre_frozen,0.025,159.112799651467,117.80604248046879,0.7403932476741046
plain,1,test_probe,centre_frozen,0.05,159.112799651467,123.50450317382813,0.7762072155374172
plain,1,test_probe,centre_frozen,0.1,159.112799651467,142.33761413574217,0.8945704836287811
plain,1,test_probe,centre_frozen,0.2,159.112799651467,171.33883285522458,1.0768387787188614
plain,1,test_probe,centre_frozen,0.25,159.112799651467,173.43942314453128,1.0900406725571194
plain,1,test_probe,centre_frozen,0.35,159.112799651467,167.04511549346304,1.049853411286657
plain,1,test_probe,centre_frozen,0.5,159.112799651467,169.76479736328128,1.066946202537742
plain,2,train_probe,saved,0.005,111.04134068570593,146.92266845703185,1.3231348572500155
plain,2,train_probe,saved,0.01,111.04134068570593,140.54904556274425,1.2657362086482513
plain,2,train_probe,saved,0.02,111.04134068570593,136.93648719787598,1.2332027545080195
plain,2,train_probe,saved,0.025,111.04134068570593,136.2920727539062,1.2273993803773546
plain,2,train_probe,saved,0.05,111.04134068570593,138.36474151611327,1.2460651200866184
plain,2,train_probe,saved,0.1,111.04134068570593,150.69615753173827,1.3571175978347765
plain,2,train_probe,saved,0.2,111.04134068570593,170.0501606750488,1.5314130721490733
plain,2,train_probe,saved,0.25,111.04134068570593,168.86458056640623,1.5207361467686578
plain,2,train_probe,saved,0.35,111.04134068570593,156.58204520089288,1.4101238712894006
plain,2,train_probe,saved,0.5,111.04134068570593,163.94009575195315,1.476387935696608
plain,2,train_probe,centre_frozen,0.005,109.29563743725173,146.00845336913991,1.335903763340651
plain,2,train_probe,centre_frozen,0.01,109.29563743725173,138.41856765747053,1.266460134211109
plain,2,train_probe,centre_frozen,0.02,109.29563743725173,135.01083278656,1.2352810775642509
plain,2,train_probe,centre_frozen,0.025,109.29563743725173,134.74888671874993,1.232884403058734
plain,2,train_probe,centre_frozen,0.05,109.29563743725173,137.26576538085936,1.2559125743666184
plain,2,train_probe,centre_frozen,0.1,109.29563743725173,149.76722442626948,1.3702946241770455
plain,2,train_probe,centre_frozen,0.2,109.29563743725173,168.48420684814448,1.541545580397697
plain,2,train_probe,centre_frozen,0.25,109.29563743725173,167.12357333984374,1.529096469525528
plain,2,train_probe,centre_frozen,0.35,109.29563743725173,154.78882553411992,1.4162397435395033
plain,2,train_probe,centre_frozen,0.5,109.29563743725173,162.02811166992188,1.4824755632441842
plain,2,test_probe,saved,0.005,153.01146925063034,111.72265624999822,0.730158705077188
plain,2,test_probe,saved,0.01,153.01146925063034,113.81582641601526,0.7438385303626276
plain,2,test_probe,saved,0.02,153.01146925063034,113.5875740051268,0.7423467963638214
plain,2,test_probe,saved,0.025,153.01146925063034,114.16685302734365,0.7461326499671744
plain,2,test_probe,saved,0.05,153.01146925063034,117.67497558593746,0.7690598369014269
plain,2,test_probe,saved,0.1,153.01146925063034,132.2796501159668,0.8645080709557454
plain,2,test_probe,saved,0.2,153.01146925063034,158.16938171386715,1.0337093192327187
plain,2,test_probe,saved,0.25,153.01146925063034,158.63047958984373,1.03672280494222
plain,2,test_probe,saved,0.35,153.01146925063034,149.5233662507972,0.977203650047176
plain,2,test_probe,saved,0.5,153.01146925063034,159.11416513671875,1.0398839114216483
plain,2,test_probe,centre_frozen,0.005,152.28112282801442,113.3800048828153,0.7445440562640594
plain,2,test_probe,centre_frozen,0.01,152.28112282801442,110.60752868652435,0.7263377537046661
