policy,from,to,arm,pairing,n_pairs,gain_from_seed0_pp,gain_from_seed1_pp,gain_from_seed2_pp,gain_to_seed0_pp,gain_to_seed1_pp,gain_to_seed2_pp,gain_from_mean_pp,gain_to_mean_pp,change_mean_pp,change_sd_pp,change_n_positive,change_n_negative
P1,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,2.0399999999999974,2.529999999999999,2.539999999999998,0.46000000000000485,0.8500000000000063,1.3400000000000079,2.369999999999998,0.8833333333333396,-1.4866666666666584,0.2532455988429692,0,3
P1,historical_adamw_30,adamw_long_noaug_160,gaussian_postrelu,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-0.8499999999999952,-0.49000000000000155,-0.24000000000000687,-0.08000000000000229,-0.8499999999999952,0.30000000000000027,-0.5266666666666678,-0.20999999999999908,0.3166666666666688,0.59718785430828,2,1
P1,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1_gaussian_conv,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,1.9199999999999995,2.3900000000000032,1.5699999999999936,1.3000000000000012,1.9300000000000095,1.5700000000000047,1.9599999999999984,1.600000000000005,-0.35999999999999366,0.3218695387886262,1,2
P1,historical_adamw_30,adamw_long_noaug_160,cbs_published_schedule,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-3.849999999999998,-3.8000000000000034,-3.520000000000001,-2.090000000000003,-1.2299999999999978,-1.539999999999997,-3.723333333333334,-1.6199999999999992,2.103333333333335,0.418847625435954,3,0
P1,historical_adamw_30,adamw_long_noaug_160,cbs_budget_matched,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-1.639999999999997,-0.869999999999993,-0.6500000000000061,-1.4800000000000035,-0.6899999999999906,-1.5499999999999958,-1.0533333333333321,-1.2399999999999967,-0.18666666666666462,0.6178457196852015,2,1
P1,historical_adamw_30,adamw_long_noaug_160,sdpoint,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,3.170000000000006,2.849999999999997,3.849999999999998,4.03,4.110000000000003,3.84000000000001,3.2900000000000005,3.993333333333338,0.7033333333333375,0.6493329911018899,2,1
P1,adamw_long_noaug_160,adamw_long_aug_160,resolution_max_b1,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,0.46000000000000485,0.8500000000000063,1.3400000000000079,0.37000000000000366,-0.9399999999999964,1.0399999999999965,0.8833333333333396,0.15666666666666793,-0.7266666666666718,0.9268405112711304,0,3
P1,adamw_long_noaug_160,adamw_long_aug_160,gaussian_postrelu,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-0.08000000000000229,-0.8499999999999952,0.30000000000000027,-6.430000000000002,-6.369999999999997,-8.57,-0.20999999999999908,-7.123333333333334,-6.913333333333334,1.7446011960712775,0,3
P1,adamw_long_noaug_160,adamw_long_aug_160,resolution_max_b1_gaussian_conv,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,1.3000000000000012,1.9300000000000095,1.5700000000000047,-3.170000000000006,-3.639999999999999,-1.1399999999999966,1.600000000000005,-2.6500000000000004,-4.250000000000006,1.4426364753464438,0,3
P1,adamw_long_noaug_160,adamw_long_aug_160,cbs_published_schedule,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-2.090000000000003,-1.2299999999999978,-1.539999999999997,-1.7800000000000038,-3.1499999999999972,-0.5499999999999949,-1.6199999999999992,-1.8266666666666656,-0.2066666666666661,1.5222461474194424,2,1
P1,adamw_long_noaug_160,adamw_long_aug_160,cbs_budget_matched,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,-1.4800000000000035,-0.6899999999999906,-1.5499999999999958,-1.860000000000006,-3.0399999999999983,-0.8000000000000007,-1.2399999999999967,-1.9000000000000015,-0.660000000000005,1.5688530842625148,1,2
P1,adamw_long_noaug_160,adamw_long_aug_160,sdpoint,"same init, same 160-epoch order, same schedules; differs only by crop/flip",3,4.03,4.110000000000003,3.84000000000001,0.22999999999999687,-1.1900000000000022,0.5800000000000027,3.993333333333338,-0.1266666666666675,-4.120000000000005,1.0569768209379042,0,3
P1,historical_sgd_30,sgd_standard_aug_160,resolution_max_b1,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.820000000000003,4.320000000000002,4.859999999999998,-0.050000000000005596,-2.6800000000000046,-0.5799999999999916,5.000000000000001,-1.103333333333334,-6.103333333333334,0.8057501680628713,0,3
P1,historical_sgd_30,sgd_standard_aug_160,gaussian_postrelu,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.459999999999998,4.2200000000000015,3.7699999999999956,-3.960000000000008,-2.400000000000002,-5.630000000000002,4.483333333333332,-3.996666666666671,-8.480000000000002,1.610838291077039,0,3
P1,historical_sgd_30,sgd_standard_aug_160,resolution_max_b1_gaussian_conv,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,7.050000000000001,5.689999999999995,5.769999999999998,-2.43000000000001,-1.4200000000000101,-3.639999999999999,6.169999999999997,-2.496666666666673,-8.666666666666671,1.34856714083257,0,3
P1,historical_sgd_30,sgd_standard_aug_160,cbs_published_schedule,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,3.0000000000000027,2.1199999999999997,2.539999999999998,-0.48000000000000265,-1.2800000000000034,-0.6799999999999917,2.5533333333333332,-0.8133333333333326,-3.366666666666666,0.13316656236959626,0,3
P1,historical_sgd_30,sgd_standard_aug_160,cbs_budget_matched,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,3.7000000000000033,2.4599999999999955,3.589999999999993,-0.10000000000000009,-0.990000000000002,-0.40999999999999925,3.249999999999997,-0.5000000000000004,-3.749999999999998,0.27838821814149933,0,3
P1,historical_sgd_30,sgd_standard_aug_160,sdpoint,"same init and first-30-epoch order; different optimizer settings, schedule, horizon and augmentation (descriptive only)",3,5.170000000000008,3.8799999999999946,4.049999999999998,-1.5200000000000102,-1.21,-0.9699999999999931,4.366666666666667,-1.2333333333333345,-5.600000000000001,0.9446163242290639,0,3
P0,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,2.079999999999993,2.300000000000002,2.6999999999999913,0.44999999999999485,0.6300000000000083,1.4399999999999968,2.3599999999999954,0.84,-1.5199999999999954,0.22605309110914695,0,3
P0,historical_adamw_30,adamw_long_noaug_160,gaussian_postrelu,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-0.8500000000000063,-0.8700000000000041,-0.20000000000000018,-0.12999999999999678,-0.9199999999999986,0.5499999999999949,-0.6400000000000036,-0.16666666666666682,0.4733333333333367,0.45346811721810326,2,1
P0,historical_adamw_30,adamw_long_noaug_160,resolution_max_b1_gaussian_conv,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,1.8899999999999917,2.1100000000000008,1.6999999999999904,1.3499999999999956,1.650000000000007,1.639999999999997,1.8999999999999944,1.5466666666666666,-0.3533333333333277,0.2571640202931465,0,3
P0,historical_adamw_30,adamw_long_noaug_160,cbs_published_schedule,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-3.760000000000008,-4.169999999999996,-3.64000000000001,-1.959999999999995,-1.2399999999999967,-1.5000000000000013,-3.8566666666666714,-1.5666666666666644,2.290000000000007,0.5797413216254231,3,0
P0,historical_adamw_30,adamw_long_noaug_160,cbs_budget_matched,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,-1.440000000000008,-0.9199999999999986,-0.7900000000000018,-1.4800000000000035,-0.759999999999994,-1.4100000000000001,-1.0500000000000027,-1.216666666666666,-0.1666666666666631,0.40513372277969484,1,2
P0,historical_adamw_30,adamw_long_noaug_160,sdpoint,"same init_seed<k> and perm_seed<k> epochs 0-29; different horizon, LR schedule length and intervention schedules; separate campaigns",3,2.2499999999999964,1.6599999999999948,1.21,1.100000000000001,-0.26999999999999247,1.5699999999999936,1.7066666666666637,0.8000000000000007,-0.9066666666666631,1.1642307904076885,1,2
