campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,cbs_budget_matched,0,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.83692,0.46413478942871095,0.8023,0.5974380737304688,P1
adamw_long_aug_160,cbs_budget_matched,0,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.91824,0.22820815826416016,0.8495,0.5115057952880859,P1
adamw_long_aug_160,cbs_budget_matched,0,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.9438,0.16417060302734374,0.8622,0.5914680801391602,P1
adamw_long_aug_160,cbs_budget_matched,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.9504,0.14692623054504395,0.8654,0.6283350463867188,P1
adamw_long_aug_160,cbs_budget_matched,1,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.86778,0.3748590896606445,0.8237,0.5176773757934571,P1
adamw_long_aug_160,cbs_budget_matched,1,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.91882,0.236499189453125,0.8498,0.5546677764892578,P1
adamw_long_aug_160,cbs_budget_matched,1,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.94426,0.1674489617919922,0.8584,0.6149588836669921,P1
adamw_long_aug_160,cbs_budget_matched,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.95266,0.14324652069091798,0.8586,0.6645842224121093,P1
adamw_long_aug_160,cbs_budget_matched,2,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.85546,0.4202621435546875,0.819,0.5688863601684571,P1
adamw_long_aug_160,cbs_budget_matched,2,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.92956,0.1972463655090332,0.8597,0.503469253540039,P1
adamw_long_aug_160,cbs_budget_matched,2,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.94982,0.14449414665222168,0.865,0.5899691223144531,P1
adamw_long_aug_160,cbs_budget_matched,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.96086,0.1150241459274292,0.8681,0.6172512222290039,P1
adamw_long_aug_160,cbs_published_schedule,0,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.86504,0.3874280325317383,0.8226,0.5275609008789063,P1
adamw_long_aug_160,cbs_published_schedule,0,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.91764,0.23576306594848634,0.8492,0.518349545288086,P1
adamw_long_aug_160,cbs_published_schedule,0,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.08862938119652507}",scheduled state of the last update of epoch 119,0.08862938119652507,0.94498,0.16515758750915527,0.8587,0.6112485748291016,P1
adamw_long_aug_160,cbs_published_schedule,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",native inference state (endpoint P1 reused),0.038152042447694615,0.95458,0.13701594177246093,0.8662,0.6263174728393555,P1
adamw_long_aug_160,cbs_published_schedule,1,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.8463,0.43423190887451174,0.8086,0.5656279342651367,P1
adamw_long_aug_160,cbs_published_schedule,1,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.9186,0.23259518493652342,0.8503,0.5262299255371093,P1
