campaign,arm,seed,epoch,update,lr_last_update,online_train_loss_epoch,state_resolution,state_level,per_site_sigma_max,bn,current_probe500_acc,current_probe500_ce,current_test_acc,current_test_ce,target_probe500_acc,target_probe500_ce,target_test_acc,target_test_ce
adamw_long_aug_160,cbs_budget_matched,0,0,0,0.0003333333333333333,,,,,saved running statistics,0.1,2.50378515625,0.1,2.4965713012695314,0.1,2.79760546875,0.1,2.7896129272460937
adamw_long_aug_160,cbs_budget_matched,0,1,391,0.019998624287647555,1.7866647815704346,,1.0,1.0,saved running statistics,0.392,1.689196044921875,0.4127,1.6150720947265624,0.306,2.08784423828125,0.3402,2.0393481323242186
adamw_long_aug_160,cbs_budget_matched,0,2,782,0.01999343351874299,1.5211383559799194,,1.0,1.0,saved running statistics,0.452,1.516317138671875,0.4755,1.4615570678710939,0.27,3.5194287109375,0.2855,3.281500634765625
adamw_long_aug_160,cbs_budget_matched,0,3,1173,0.019984382690565856,1.374450325241089,,1.0,1.0,saved running statistics,0.512,1.3513658447265624,0.5156,1.3157053405761718,0.266,3.335192138671875,0.2848,3.158260290527344
adamw_long_aug_160,cbs_budget_matched,0,4,1564,0.0199714752990851,1.2702285413360597,,1.0,1.0,saved running statistics,0.54,1.248591064453125,0.5734,1.1930324645996093,0.208,6.68367236328125,0.2343,6.572577978515625
adamw_long_aug_160,cbs_budget_matched,0,5,1955,0.019954716329904122,1.1825838080978393,,1.0,1.0,saved running statistics,0.556,1.263869873046875,0.5738,1.2039957397460936,0.28,3.7167744140625,0.2871,3.5343145141601564
adamw_long_aug_160,cbs_budget_matched,0,6,2346,0.019934112256335054,1.1092746339797974,,0.9,0.9,saved running statistics,0.578,1.1867421875,0.6127,1.1094366119384766,0.2,7.0980654296875,0.2057,6.80043505859375
adamw_long_aug_160,cbs_budget_matched,0,7,2737,0.01990967103689836,1.0485685611343383,,0.9,0.9,saved running statistics,0.618,1.103484619140625,0.6314,1.0433996826171874,0.288,4.639447265625,0.2999,4.256158801269531
adamw_long_aug_160,cbs_budget_matched,0,8,3128,0.019881402112248807,1.0023762539672851,,0.9,0.9,saved running statistics,0.656,1.042269775390625,0.6585,1.0013358947753905,0.294,4.9069208984375,0.3117,4.690644970703125
adamw_long_aug_160,cbs_budget_matched,0,9,3519,0.0198493164015289,0.9608921984100341,,0.9,0.9,saved running statistics,0.666,0.9210675048828125,0.6735,0.9350792877197266,0.288,4.63603369140625,0.3152,4.480426098632813
adamw_long_aug_160,cbs_budget_matched,0,10,3910,0.019813426298151263,0.9220185366439819,,0.9,0.9,saved running statistics,0.604,1.15257568359375,0.6321,1.0813924621582032,0.268,6.4675673828125,0.2693,6.082990478515625
adamw_long_aug_160,cbs_budget_matched,0,11,4301,0.01977374566501158,0.8753979726409912,,0.81,0.81,saved running statistics,0.712,0.87226611328125,0.6938,0.8767233032226562,0.274,5.42703564453125,0.258,5.111852807617187
adamw_long_aug_160,cbs_budget_matched,0,12,4692,0.019730289829133895,0.8441953923797607,,0.81,0.81,saved running statistics,0.696,0.863214599609375,0.7028,0.8431519592285156,0.212,9.519357421875,0.1978,9.580553759765625
adamw_long_aug_160,cbs_budget_matched,0,13,5083,0.019683075575750435,0.8174729167747498,,0.81,0.81,saved running statistics,0.704,0.8055615844726562,0.7124,0.8410445617675781,0.32,5.290802734375,0.3213,5.0226869140625
adamw_long_aug_160,cbs_budget_matched,0,14,5474,0.019632121141818108,0.7813574135589599,,0.81,0.81,saved running statistics,0.71,0.794095703125,0.7058,0.8375503936767578,0.152,14.537265625,0.1457,14.623764306640625
adamw_long_aug_160,cbs_budget_matched,0,15,5865,0.019577446208974347,0.7628652143096923,,0.81,0.81,saved running statistics,0.736,0.799562255859375,0.724,0.8103195831298828,0.234,9.1099326171875,0.2329,8.91022294921875
adamw_long_aug_160,cbs_budget_matched,0,16,6256,0.019519071895934867,0.727260467967987,,0.7290000000000001,0.7290000000000001,saved running statistics,0.744,0.6745699462890625,0.7378,0.7548589599609375,0.178,10.9020419921875,0.1759,10.74598212890625
adamw_long_aug_160,cbs_budget_matched,0,17,6647,0.01945702075033636,0.7047963270378113,,0.7290000000000001,0.7290000000000001,saved running statistics,0.742,0.697019775390625,0.7424,0.744332974243164,0.188,11.3887998046875,0.1744,11.221192822265625
adamw_long_aug_160,cbs_budget_matched,0,18,7038,0.01939131674002727,0.6842401215076447,,0.7290000000000001,0.7290000000000001,saved running statistics,0.76,0.6624439697265625,0.7561,0.7186517303466797,0.204,11.03908984375,0.2032,10.83384794921875
adamw_long_aug_160,cbs_budget_matched,0,19,7429,0.01932198524380996,0.656916548538208,,0.7290000000000001,0.7290000000000001,saved running statistics,0.756,0.6411636962890624,0.7543,0.7125979644775391,0.248,9.777482421875,0.2219,9.733847900390625
adamw_long_aug_160,cbs_budget_matched,0,20,7820,0.019249053041637928,0.6401324257469178,,0.7290000000000001,0.7290000000000001,saved running statistics,0.786,0.616191162109375,0.761,0.7024420837402344,0.158,13.646078125,0.1638,13.704923193359376
adamw_long_aug_160,cbs_budget_matched,0,21,8211,0.019172548304271765,0.6220806254005432,,0.6561,0.6561,saved running statistics,0.772,0.67869921875,0.7535,0.7397838439941407,0.268,6.9718310546875,0.2794,6.87913671875
adamw_long_aug_160,cbs_budget_matched,0,22,8602,0.01909250058239797,0.5994830689525604,,0.6561,0.6561,saved running statistics,0.796,0.6265289916992187,0.7534,0.7427120971679687,0.206,8.512171875,0.2224,8.521251245117188
adamw_long_aug_160,cbs_budget_matched,0,23,8993,0.019008940795214677,0.5768900483894348,,0.6561,0.6561,saved running statistics,0.792,0.5518529663085937,0.7879,0.6197083923339843,0.244,7.8747744140625,0.2493,7.983958203125
adamw_long_aug_160,cbs_budget_matched,0,24,9384,0.01892190121848885,0.569864903640747,,0.6561,0.6561,saved running statistics,0.812,0.5285862426757812,0.7874,0.6352973114013671,0.226,8.70880078125,0.2168,8.9723822265625
adamw_long_aug_160,cbs_budget_matched,0,25,9775,0.018831415472089424,0.5568087145900726,,0.6561,0.6561,saved running statistics,0.814,0.5433417358398438,0.7884,0.6161459503173828,0.232,7.60874072265625,0.2488,7.4079830078125
adamw_long_aug_160,cbs_budget_matched,0,26,10166,0.01873751850700135,0.5334688336896897,,0.5904900000000001,0.5904900000000001,saved running statistics,0.822,0.5146133422851562,0.7988,0.5923240509033203,0.302,5.2976162109375,0.3204,5.2554126953125
adamw_long_aug_160,cbs_budget_matched,0,27,10557,0.018640246591825404,0.5126601275730133,,0.5904900000000001,0.5904900000000001,saved running statistics,0.848,0.47713079833984373,0.8061,0.5948195068359375,0.312,6.723439453125,0.3044,6.475444775390625
adamw_long_aug_160,cbs_budget_matched,0,28,10948,0.018539637298769125,0.5051038091278076,,0.5904900000000001,0.5904900000000001,saved running statistics,0.818,0.5009088439941406,0.8008,0.6109646667480468,0.364,4.48233740234375,0.3549,4.414071813964844
adamw_long_aug_160,cbs_budget_matched,0,29,11339,0.01843572948913417,0.49070960661411284,,0.5904900000000001,0.5904900000000001,saved running statistics,0.822,0.49358575439453123,0.8012,0.609647053527832,0.276,6.63173828125,0.2836,6.548025073242187
adamw_long_aug_160,cbs_budget_matched,0,30,11730,0.018328563298305768,0.4804946948814392,,0.5904900000000001,0.5904900000000001,saved running statistics,0.828,0.5052789916992187,0.8071,0.5816297622680664,0.344,4.5503115234375,0.3584,4.479090576171875
adamw_long_aug_160,cbs_budget_matched,0,31,12121,0.018218180120250053,0.46277869675159455,,0.531441,0.531441,saved running statistics,0.828,0.4621821594238281,0.8116,0.5704405426025391,0.434,3.13140234375,0.436,3.075963037109375
adamw_long_aug_160,cbs_budget_matched,0,32,12512,0.018104622591525243,0.44713176950454714,,0.531441,0.531441,saved running statistics,0.83,0.480406494140625,0.8049,0.5828896759033203,0.436,3.450498291015625,0.4418,3.1940646484375
adamw_long_aug_160,cbs_budget_matched,0,33,12903,0.01798793457481285,0.44015298523545265,,0.531441,0.531441,saved running statistics,0.858,0.37716900634765627,0.8229,0.5402768478393555,0.524,2.2077734375,0.5325,2.2105390869140624
adamw_long_aug_160,cbs_budget_matched,0,34,13294,0.017868161141975328,0.4262793793106079,,0.531441,0.531441,saved running statistics,0.86,0.3858489074707031,0.8252,0.5472729400634766,0.516,2.98135107421875,0.5008,2.992869287109375
adamw_long_aug_160,cbs_budget_matched,0,35,13685,0.0177453485566466,0.41649973150730135,,0.531441,0.531441,saved running statistics,0.862,0.3954097900390625,0.8246,0.5314415802001953,0.532,2.31376904296875,0.5343,2.3392936340332033
adamw_long_aug_160,cbs_budget_matched,0,36,14076,0.017619544256362325,0.4040446546554565,,0.4782969000000001,0.4782969000000001,saved running statistics,0.876,0.36203488159179686,0.8311,0.5239063705444336,0.694,1.22030810546875,0.6764,1.306419775390625
