campaign,policy,split,contrast,arm_a,arm_b,n_pairs,seeds,acc_diff_seed0_pp,acc_diff_seed1_pp,acc_diff_seed2_pp,acc_diff_mean_pp,acc_diff_sd_pp,acc_n_positive,acc_n_negative,acc_n_zero,ce_diff_seed0,ce_diff_seed1,ce_diff_seed2,ce_diff_mean,ce_diff_sd,ce_n_lower,ce_n_higher
adamw_long_aug_160,P0,test,R - Plain,resolution_max_b1,plain,3,"0,1,2",-1.0300000000000087,-0.18000000000000238,0.18999999999999018,-0.34000000000000696,0.6255397669213368,1,2,0,-0.012388713073730462,-0.06773077697753904,-0.08009908142089839,-0.05340619049072263,0.03605646722768334,3,0
adamw_long_aug_160,P0,test,G - Plain,gaussian_postrelu,plain,3,"0,1,2",-2.629999999999999,-2.42,-2.1100000000000008,-2.3866666666666667,0.2615976554431115,0,3,0,0.0047991348266601674,-0.013707023620605496,-0.05630501098632812,-0.02173763326009115,0.031333642898170706,2,1
adamw_long_aug_160,P0,test,RG - Plain,resolution_max_b1_gaussian_conv,plain,3,"0,1,2",-1.8000000000000016,-1.1599999999999944,-1.3000000000000012,-1.419999999999999,0.3364520768252173,0,3,0,-0.02656906433105466,-0.07587106781005859,-0.0695091384887695,-0.05731642354329425,0.026817319218503936,3,0
adamw_long_aug_160,P0,test,CBS-pub - Plain,cbs_published_schedule,plain,3,"0,1,2",-1.6000000000000014,-1.5000000000000013,-0.990000000000002,-1.363333333333335,0.32715949219506546,0,3,0,0.02382942810058597,-0.0072755325317382935,-0.045972439575195256,-0.009806181335449193,0.034969677154394925,2,1
adamw_long_aug_160,P0,test,CBS-bm - Plain,cbs_budget_matched,plain,3,"0,1,2",-2.1400000000000086,-1.4000000000000012,-1.430000000000009,-1.6566666666666727,0.4188476254359515,0,3,0,0.020882574462890657,0.009002987670898466,-0.027596112060546907,0.0007631500244140721,0.025267903654433776,1,2
adamw_long_aug_160,P0,test,SDPoint - Plain,sdpoint,plain,3,"0,1,2",-2.53000000000001,-2.6599999999999957,-1.540000000000008,-2.243333333333338,0.6125629219380886,0,3,0,-0.15637121734619142,-0.18544273681640622,-0.21030330810546877,-0.1840390874226888,0.026993430258714708,3,0
adamw_long_aug_160,P0,test,R - SDPoint,resolution_max_b1,sdpoint,3,"0,1,2",1.5000000000000013,2.4799999999999933,1.7299999999999982,1.9033333333333309,0.5124776417887216,3,0,0,0.14398250427246095,0.11771195983886718,0.13020422668457038,0.13063289693196617,0.01314051729746999,0,3
adamw_long_aug_160,P0,test,RG - SDPoint,resolution_max_b1_gaussian_conv,sdpoint,3,"0,1,2",0.7300000000000084,1.5000000000000013,0.24000000000000687,0.8233333333333389,0.6351640208114195,3,0,0,0.12980215301513676,0.10957166900634763,0.14079416961669927,0.12672266387939454,0.015837410649904796,0,3
adamw_long_aug_160,P0,test,G - CBS-pub,gaussian_postrelu,cbs_published_schedule,3,"0,1,2",-1.0299999999999976,-0.9199999999999986,-1.1199999999999988,-1.0233333333333317,0.10016652800877818,0,3,0,-0.019030293273925802,-0.006431491088867203,-0.010332571411132863,-0.011931451924641956,0.006449788236594955,3,0
adamw_long_aug_160,P0,test,G - CBS-bm,gaussian_postrelu,cbs_budget_matched,3,"0,1,2",-0.48999999999999044,-1.0199999999999987,-0.6799999999999917,-0.7299999999999937,0.2685144316419554,0,3,0,-0.01608343963623049,-0.022710011291503962,-0.028708898925781212,-0.02250078328450522,0.006315329590544753,3,0
adamw_long_aug_160,P0,test,RG - R,resolution_max_b1_gaussian_conv,resolution_max_b1,3,"0,1,2",-0.7699999999999929,-0.979999999999992,-1.4899999999999913,-1.079999999999992,0.37027017163147163,0,3,0,-0.014180351257324197,-0.008140290832519548,0.010589942932128893,-0.003910233052571617,0.012915568519205297,2,1
adamw_long_aug_160,P0,test,CBS-bm - CBS-pub,cbs_budget_matched,cbs_published_schedule,3,"0,1,2",-0.5400000000000071,0.10000000000000009,-0.44000000000000705,-0.29333333333333805,0.34428670223134694,1,2,0,-0.0029468536376953125,0.01627852020263676,0.01837632751464835,0.010569331359863265,0.011752261124811387,1,2
adamw_long_aug_160,P0,train,R - Plain,resolution_max_b1,plain,3,"0,1,2",-0.19599999999999618,-0.17399999999999638,-0.12199999999999989,-0.16399999999999748,0.03799999999999798,0,3,0,0.005170746851563454,0.0051798451972007754,0.004936816104650498,0.005095802717804909,0.0001377615778984361,0,3
adamw_long_aug_160,P0,train,G - Plain,gaussian_postrelu,plain,3,"0,1,2",-0.7480000000000042,-0.9260000000000046,-1.1319999999999997,-0.9353333333333361,0.1921700635721715,0,3,0,0.021824754305481912,0.026757449164390566,0.031746993976831436,0.026776399148901304,0.00496114697931439,0,3
adamw_long_aug_160,P0,train,RG - Plain,resolution_max_b1_gaussian_conv,plain,3,"0,1,2",-0.770000000000004,-0.7140000000000035,-0.6480000000000041,-0.7106666666666706,0.061068267810159185,0,3,0,0.021750405164360997,0.020794233708381654,0.018174146682024002,0.02023959518492222,0.0018515194035982382,0,3
adamw_long_aug_160,P0,train,CBS-pub - Plain,cbs_published_schedule,plain,3,"0,1,2",-0.20600000000000618,-0.31799999999999606,-0.34399999999999986,-0.28933333333333405,0.07333030296768654,0,3,0,0.0063197053962945945,0.009009545216560364,0.011351328102350237,0.008893526238401733,0.0025178169247372624,0,3
adamw_long_aug_160,P0,train,CBS-bm - Plain,cbs_budget_matched,plain,3,"0,1,2",-0.37399999999999656,-0.29799999999999827,-0.43800000000000505,-0.36999999999999994,0.07008566187174417,0,3,0,0.010723643108010293,0.008729058213233947,0.013601660529375077,0.011018120616873106,0.002449612435720294,0,3
adamw_long_aug_160,P0,train,SDPoint - Plain,sdpoint,plain,3,"0,1,2",-4.8699999999999966,-6.086000000000002,-4.471999999999998,-5.142666666666666,0.8408384704170818,0,3,0,0.13084509470522404,0.16750164128780365,0.12412890288949012,0.14082521296083927,0.02334524960969969,0,3
adamw_long_aug_160,P0,train,R - SDPoint,resolution_max_b1,sdpoint,3,"0,1,2",4.674,5.912000000000006,4.349999999999998,4.978666666666668,0.824364805976905,3,0,0,-0.12567434785366058,-0.16232179609060288,-0.11919208678483963,-0.13572941024303434,0.023256637029900943,3,0
