campaign,arm,seed,policy,split,acc,ce,n,source,state,buffers_sha256,checkpoint_sha256,account,tag,campaign_label,arm_short
adamw_long_aug_160,cbs_budget_matched,0,P0,train,0.99494,0.014897978563308717,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8eb29816a6e487f2e32c8eafbb311bfabc5638e7dc0703b6da912e381c645a02,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P0,test,0.8915,0.559804330444336,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8eb29816a6e487f2e32c8eafbb311bfabc5638e7dc0703b6da912e381c645a02,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P1,train,0.9504,0.14692623054504395,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",6d03021918b575ce2d163fcf004d808ef6f128f40682534a2aaa049e7dddb8c6,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P1,test,0.8654,0.6283350463867188,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",6d03021918b575ce2d163fcf004d808ef6f128f40682534a2aaa049e7dddb8c6,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P2,train,0.94992,0.14902410758972168,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",917647615483960c19e97dc4a94ca60bd759c420ed3cdffe489f93a411b6bf3a,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P2,test,0.8645,0.6348037902832031,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",917647615483960c19e97dc4a94ca60bd759c420ed3cdffe489f93a411b6bf3a,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P3,train,0.99486,0.014516613020896912,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",aeef5a739e195c756f3adcee78e0150568b55e6ffbf286b86b0a1bbc382b42da,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,0,P3,test,0.892,0.5582947555541993,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",aeef5a739e195c756f3adcee78e0150568b55e6ffbf286b86b0a1bbc382b42da,53706241c1284abc652e72d1945cfeda4d42597a89998651eaa86be0fadee80b,maximemonstrenikez,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P0,train,0.99548,0.013864577722549438,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",f833726e4c5fa0679ce9d5d3c6ac99df44e7d6df68577e872604111950309403,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P0,test,0.8924,0.5862430404663086,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",f833726e4c5fa0679ce9d5d3c6ac99df44e7d6df68577e872604111950309403,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P1,train,0.95266,0.14324652069091798,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8a54d7eaad181aba69b5a2da22e181eb42b62d23b2e060eedb48aafda2265de9,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P1,test,0.8586,0.6645842224121093,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8a54d7eaad181aba69b5a2da22e181eb42b62d23b2e060eedb48aafda2265de9,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P2,train,0.95242,0.1452606615447998,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",7cb3dd02ae0f462f7897d339a51a57f14d1f5aba0abf3d5e4b243d7f644dcddf,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P2,test,0.8579,0.6701504364013672,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",7cb3dd02ae0f462f7897d339a51a57f14d1f5aba0abf3d5e4b243d7f644dcddf,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P3,train,0.99598,0.013064131231307983,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",3390e5f6423923761ffe4c46a173488a8eb2fa8394c1d0f857b3919c239bd1e2,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,1,P3,test,0.8923,0.5879978561401367,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",3390e5f6423923761ffe4c46a173488a8eb2fa8394c1d0f857b3919c239bd1e2,09569e75843ba61ee96aaa14635a9cad705865cdcdd709fd520221e0a0ad9514,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P0,train,0.9941,0.018020783801078796,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",06b1f2869466aeb1d22441e7335e1032534194b10cabc6bb4d0243f220e28ea4,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P0,test,0.8915,0.5698677947998047,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",06b1f2869466aeb1d22441e7335e1032534194b10cabc6bb4d0243f220e28ea4,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P1,train,0.96086,0.1150241459274292,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",1144475f7b2ccacdaba2b6d4e3321634ac0f7331e5500d1240c2c0b17a3c96b1,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P1,test,0.8681,0.6172512222290039,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",1144475f7b2ccacdaba2b6d4e3321634ac0f7331e5500d1240c2c0b17a3c96b1,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P2,train,0.96044,0.11654322341918945,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",1cd390fa7a022b163797a5552a489415ade3643a5bd601301379f22b38777ff5,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P2,test,0.8672,0.6219468688964844,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",1cd390fa7a022b163797a5552a489415ade3643a5bd601301379f22b38777ff5,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P3,train,0.99406,0.01829848042011261,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8951942942504bc429fbe5639e49899c6e39559c48fc760ecd89ebec8c01fb06,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_budget_matched,2,P3,test,0.8933,0.5670292190551758,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8951942942504bc429fbe5639e49899c6e39559c48fc760ecd89ebec8c01fb06,df4a5d346d946266b076e2160c33531e3cb80fb165c4d327e7a98bcb6889bc04,maxmonstre,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-bm
adamw_long_aug_160,cbs_published_schedule,0,P0,train,0.99662,0.010494040851593018,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",dacb2516ff76471efcff7e72f9f0ed69cbcf7db26658a437015849b9a669c3a2,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P0,test,0.8969,0.5627511840820313,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",dacb2516ff76471efcff7e72f9f0ed69cbcf7db26658a437015849b9a669c3a2,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P1,train,0.95458,0.13701594177246093,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",61975147e54b162cb3873c826c193f3dc3d293bbd2ff77d6cbd8ecee0a039db9,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P1,test,0.8662,0.6263174728393555,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",61975147e54b162cb3873c826c193f3dc3d293bbd2ff77d6cbd8ecee0a039db9,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P2,train,0.9536,0.14004519889831543,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",064ff38b9101e8e41c55a33e4c97faf0797e042f40ec27d10c42a5e9b385372b,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P2,test,0.8661,0.6333689758300781,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",064ff38b9101e8e41c55a33e4c97faf0797e042f40ec27d10c42a5e9b385372b,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P3,train,0.9965,0.009889611184597016,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",05ba20a402937aa029dcf6c4f25605feca21582431b68a7bc396c0749f41347a,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,0,P3,test,0.896,0.563543391418457,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",05ba20a402937aa029dcf6c4f25605feca21582431b68a7bc396c0749f41347a,235f907adbb11024372d9bf6b15351912dd7c583444ef09545f7ab8da10f2402,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P0,train,0.99528,0.014145064725875855,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",149131b059c9fa63651d5f57a75b4fa6675269df9ed7e07209b2322628f55fed,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,1,P0,test,0.8914,0.5699645202636718,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",149131b059c9fa63651d5f57a75b4fa6675269df9ed7e07209b2322628f55fed,714fd9288824b10398cff1b1abf43d27367a71b05758ecd202f24f0e9dc9be35,maxnicaise,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
