campaign,contrast,P0_mean_pp,P0_signs(+/-),P1_mean_pp,P1_signs(+/-),P2_mean_pp,P2_signs(+/-),P3_mean_pp,P3_signs(+/-),range_across_policies_pp,sign_of_mean_changes_across_policies
adamw_long_aug_160,R - SDPoint,1.9033333333333309,3/0,0.28333333333333544,3/0,0.2466666666666654,3/0,-0.649999999999995,0/3,2.5533333333333257,True
adamw_long_aug_160,RG - SDPoint,0.8233333333333389,3/0,-2.523333333333333,0/3,-2.5466666666666673,0/3,-1.7433333333333263,0/3,3.3700000000000063,True
adamw_long_noaug_160,R - SDPoint,0.03999999999999929,1/2,-3.1099999999999977,0/3,-3.099999999999999,0/3,-3.1266666666666665,0/3,3.1666666666666656,True
adamw_long_noaug_160,RG - SDPoint,0.7466666666666658,3/0,-2.3933333333333326,0/3,-2.3933333333333326,0/3,-2.4233333333333325,0/3,3.169999999999998,True
historical_adamw_30,R - SDPoint,0.6533333333333317,2/1,-0.9200000000000023,0/3,-0.9466666666666698,0/3,-0.9233333333333316,0/3,1.6000000000000014,True
historical_adamw_30,RG - SDPoint,0.19333333333333055,2/1,-1.3300000000000016,0/3,-1.3600000000000019,0/3,-1.4400000000000006,0/3,1.633333333333331,True
historical_sgd_30,R - SDPoint,2.45666666666667,3/0,0.6333333333333339,3/0,0.5966666666666639,3/0,0.44666666666666927,3/0,2.0100000000000007,False
historical_sgd_30,RG - SDPoint,3.56,3/0,1.803333333333331,3/0,1.7999999999999978,3/0,1.6933333333333358,3/0,1.8666666666666643,False
sgd_standard_aug_160,R - SDPoint,1.406666666666671,3/0,0.13000000000000048,2/1,0.1799999999999987,2/1,-0.23999999999999577,1/2,1.6466666666666667,True
sgd_standard_aug_160,RG - SDPoint,0.4333333333333374,2/1,-1.2633333333333385,0/3,-1.1900000000000022,0/3,-1.2033333333333267,0/3,1.6966666666666759,True
