regime,arm,seed,priority,run,config_sha256,allocated_account,allocated_gpu_queue,completed_account,kaggle_kernel,gpu_type,status,attempts,output_location
sgd_standard_aug_160,plain,0,1,sgd_standard_aug_160__plain__seed0,99d1e838a9f6c6ba89346155344c1080afd521b10b8c37bd031e5aa69490004f,maximemonstrenikez,0,,maximemonstrenikez/t1,,failed,t1:failed,
sgd_standard_aug_160,resolution_max_b1,0,1,sgd_standard_aug_160__resolution_max_b1__seed0,8bcf7f2f3361274a984df628311995350ae30ef29dad2aeb0adaf8a977e2e693,maximemonstrenikez,1,,maximemonstrenikez/t1,,failed,t1:failed,
sgd_standard_aug_160,gaussian_postrelu,0,1,sgd_standard_aug_160__gaussian_postrelu__seed0,176949a17e4937ec1f7d296edd920280db1e44bc6a19d3af756f59cb84c1aee2,maxlebossdu91,0,,maxlebossdu91/t1,,failed,t1:failed,
sgd_standard_aug_160,resolution_max_b1_gaussian_conv,0,1,sgd_standard_aug_160__resolution_max_b1_gaussian_conv__seed0,b1c4aad90ce039dcc20ee5aad6a33d5032ea2dc75bddd98d71305c4b6f019944,maxlebossdu91,1,,maxlebossdu91/t1,,failed,t1:failed,
sgd_standard_aug_160,cbs_published_schedule,0,1,sgd_standard_aug_160__cbs_published_schedule__seed0,87d4655f4dfcd981dde65661bc948e6c4f1d248ec40a630f75dc26eb3d48a4f2,maxlefrr,0,,maxlefrr/t1,,failed,t1:failed,
sgd_standard_aug_160,cbs_budget_matched,0,1,sgd_standard_aug_160__cbs_budget_matched__seed0,f8711671c28f20fc6f5d5d39c9cdb7a7e819eb4230a6de5c5596fe0114a13f4d,maxlefrr,1,,maxlefrr/t1,,failed,t1:failed,
sgd_standard_aug_160,sdpoint,0,1,sgd_standard_aug_160__sdpoint__seed0,40caf351eaf6d2c9991602c9e8c8365b6b20b4254fae282eadaedb24de44f7f3,maxnicaise,0,,maxnicaise/t1,,failed,t1:failed,
sgd_standard_aug_160,plain,1,1,sgd_standard_aug_160__plain__seed1,69312a67572fa5373a8704de71eccb87a29f3d0724e437475329fbb7c2ce1063,maxnicaise,1,,maxnicaise/t1,,failed,t1:failed,
sgd_standard_aug_160,resolution_max_b1,1,1,sgd_standard_aug_160__resolution_max_b1__seed1,48768dc30e9dcf82dd78393b996c0f499d3c8dc846925c85eee9c995fe35ef90,maxnikezz,0,,maxnikezz/t1,,failed,t1:failed,
sgd_standard_aug_160,gaussian_postrelu,1,1,sgd_standard_aug_160__gaussian_postrelu__seed1,ec64666600795eb68eb530b75078389de7ac1fe16f0259fca3dbc72f0dcf09e5,maxnikezz,1,,maxnikezz/t1,,failed,t1:failed,
sgd_standard_aug_160,resolution_max_b1_gaussian_conv,1,1,sgd_standard_aug_160__resolution_max_b1_gaussian_conv__seed1,53df5215171e17687a7aab82cbe6246a3245ea6752958f9c16f7ccce319fa037,maxnicaise,0,,maxnicaise/t1,,failed,t1:failed,
sgd_standard_aug_160,cbs_published_schedule,1,1,sgd_standard_aug_160__cbs_published_schedule__seed1,3972dd3d11fd837176a143dba3bda4dca68329ce0b6563d8cc436e37e6b8de1b,maximemonstrenikez,0,,maximemonstrenikez/t1,,failed,t1:failed,
